96.47.166.128:443  # 延迟: 374ms
91.199.84.254:443  # 延迟: 10613ms
5.188.109.138:443  # 延迟: 10733ms
23.236.72.151:443  # 延迟: 10810ms
104.16.213.62:443  # 延迟: 11041ms
8.20.103.145:443  # 延迟: 11296ms
80.240.104.204:443  # 延迟: 11496ms
104.17.29.230:443  # 延迟: 11514ms
47.246.3.146:443  # 延迟: 11601ms
104.18.25.156:443  # 延迟: 11825ms
104.24.191.193:443  # 延迟: 12161ms
81.28.12.231:443  # 延迟: 12207ms
23.236.72.169:443  # 延迟: 12400ms
104.22.104.80:443  # 延迟: 12833ms
47.246.22.21:443  # 延迟: 13121ms
8.20.100.203:443  # 延迟: 13378ms
103.21.246.16:443  # 延迟: 13422ms
104.20.54.195:443  # 延迟: 13556ms
104.18.130.110:443  # 延迟: 14165ms
74.48.91.178:443  # 延迟: 14578ms
92.223.15.165:443  # 延迟: 14656ms
104.29.50.4:443  # 延迟: 14790ms
5.8.68.206:443  # 延迟: 14876ms
104.23.101.78:443  # 延迟: 15026ms
8.148.37.245:443  # 延迟: 15114ms
43.102.153.94:443  # 延迟: 15192ms
45.203.55.220:443  # 延迟: 15492ms
85.234.88.22:443  # 延迟: 15716ms
5.188.239.9:443  # 延迟: 15826ms
8.45.146.97:443  # 延迟: 16007ms
104.22.161.152:443  # 延迟: 16088ms
104.156.141.90:443  # 延迟: 16381ms
74.48.85.137:443  # 延迟: 16464ms
8.38.121.145:443  # 延迟: 16523ms
5.188.239.24:443  # 延迟: 16635ms
104.17.175.51:443  # 延迟: 17330ms
5.101.222.249:443  # 延迟: 17379ms
103.22.203.217:443  # 延迟: 17788ms
104.17.7.85:443  # 延迟: 17821ms
45.197.122.59:443  # 延迟: 17836ms
47.246.8.20:443  # 延迟: 18405ms
104.249.156.228:443  # 延迟: 18417ms
92.223.86.16:443  # 延迟: 18599ms
74.48.21.103:443  # 延迟: 18776ms
5.8.25.115:443  # 延迟: 18852ms
104.17.99.107:443  # 延迟: 18896ms
8.6.146.155:443  # 延迟: 19180ms
104.18.224.82:443  # 延迟: 19489ms
103.21.247.37:443  # 延迟: 19523ms
5.188.71.183:443  # 延迟: 19688ms
45.197.115.215:443  # 延迟: 19804ms
74.48.127.19:443  # 延迟: 19853ms
8.25.82.213:443  # 延迟: 19888ms
80.240.124.170:443  # 延迟: 20392ms
89.39.191.234:443  # 延迟: 20491ms
109.61.122.156:443  # 延迟: 20868ms
108.162.204.60:443  # 延迟: 21081ms
104.27.1.45:443  # 延迟: 21085ms
91.199.87.157:443  # 延迟: 21138ms
109.61.120.37:443  # 延迟: 21376ms
8.37.43.7:443  # 延迟: 21927ms
173.245.60.253:443  # 延迟: 22229ms
104.16.23.169:443  # 延迟: 22322ms
66.103.221.199:443  # 延迟: 22919ms
104.17.113.210:443  # 延迟: 23507ms
5.8.35.61:443  # 延迟: 23702ms
104.18.21.71:443  # 延迟: 24264ms
104.249.159.118:443  # 延迟: 24336ms
31.185.108.205:443  # 延迟: 24655ms
104.17.53.223:443  # 延迟: 24874ms
23.236.72.243:443  # 延迟: 25001ms
5.101.220.169:443  # 延迟: 25083ms
92.223.7.177:443  # 延迟: 25094ms
8.45.52.83:443  # 延迟: 25302ms
104.24.205.200:443  # 延迟: 25615ms
108.162.249.52:443  # 延迟: 25692ms
104.27.15.176:443  # 延迟: 26184ms
47.246.26.46:443  # 延迟: 26389ms
104.24.95.202:443  # 延迟: 26516ms
103.31.7.198:443  # 延迟: 27222ms
8.38.121.200:443  # 延迟: 27720ms
103.22.202.223:443  # 延迟: 27836ms
108.162.205.134:443  # 延迟: 28481ms
47.246.50.36:443  # 延迟: 28941ms
5.8.35.139:443  # 延迟: 29105ms
74.48.196.150:443  # 延迟: 30393ms
8.17.206.41:443  # 延迟: 30478ms
104.16.181.204:443  # 延迟: 30603ms
103.31.4.119:443  # 延迟: 32660ms
104.17.122.129:443  # 延迟: 34570ms
5.45.187.151:443  # 延迟: 36229ms
103.31.4.61:443  # 延迟: 37503ms
104.17.206.37:443  # 延迟: 37694ms
103.101.29.45:443  # 延迟: 39079ms
103.21.246.243:443  # 延迟: 39961ms
104.16.21.29:443  # 延迟: 40283ms
47.246.4.39:443  # 延迟: 40724ms
104.26.4.212:443  # 延迟: 41501ms
104.22.155.120:443  # 延迟: 45756ms
108.162.235.134:443  # 延迟: 46004ms
104.25.171.217:443  # 延迟: 49334ms
